USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day,Borough
997280,99999,KINGS POINT,NY,40.8,-73.77,54.0,48.7,59.7,,0.0,4.2,11.1,,0,,0,2010,10,19,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,60.8,55.9,66.4,,0.0,6.3,14.0,,0,,0,2010,10,2,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,55.7,49.5,59.5,,0.0,4.5,9.9,,0,,0,2010,10,20,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,55.2,50.0,61.3,,0.0,10.1,20.0,,0,,0,2010,10,21,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,51.2,47.3,56.8,,0.0,11.9,20.0,,0,,0,2010,10,22,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,53.8,49.1,64.0,,0.0,8.6,13.0,,0,,0,2010,10,23,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,60.0,54.0,64.2,,0.0,3.5,12.0,,0,,0,2010,10,24,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,60.5,54.3,68.4,,0.0,5.9,14.0,,0,,0,2010,10,25,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,65.6,63.7,67.8,,0.0,9.4,15.9,,0,,0,2010,10,26,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,66.2,64.2,69.1,,0.0,12.8,20.0,,0,,0,2010,10,27,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,68.2,64.8,73.0,,0.0,8.4,15.9,,0,,0,2010,10,28,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,56.2,52.5,68.0,,0.0,10.2,16.9,,0,,0,2010,10,29,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,57.5,52.9,61.5,,0.0,5.8,8.9,,0,,0,2010,10,3,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,50.4,45.5,56.8,,0.0,11.3,15.0,,0,,0,2010,10,30,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,53.5,50.4,56.1,,0.0,11.9,21.0,,0,,0,2010,10,31,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,55.6,53.8,59.5,,0.0,7.5,11.1,,0,,0,2010,10,4,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,57.0,55.0,62.2,,0.0,7.1,8.9,,0,,0,2010,10,5,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,59.7,56.3,62.6,,0.0,6.3,12.0,,0,,0,2010,10,6,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,60.8,55.2,69.8,,0.0,12.0,16.9,,0,,0,2010,10,7,BRONX
