Year,Month,Borough,requests
2010,05,BROOKLYN,32351
2010,08,BROOKLYN,32128
2011,08,BROOKLYN,50998
2011,11,BROOKLYN,50073
2011,06,BROOKLYN,44399
2011,10,BROOKLYN,53584
2011,09,BROOKLYN,50686
2011,12,BROOKLYN,50205
2011,05,BROOKLYN,38717
2011,02,BROOKLYN,29094
2011,04,BROOKLYN,38313
2011,07,BROOKLYN,46376
2011,01,BROOKLYN,27753
2011,03,BROOKLYN,42794
2012,06,BROOKLYN,42942
2012,03,BROOKLYN,43689
2012,05,BROOKLYN,43811
2012,02,BROOKLYN,41280
2012,11,BROOKLYN,51197
2012,08,BROOKLYN,45100
2012,01,BROOKLYN,51948
2012,09,BROOKLYN,42778
2012,12,BROOKLYN,47177
2012,04,BROOKLYN,40634
2012,10,BROOKLYN,45596
2012,07,BROOKLYN,44891
2013,09,BROOKLYN,40905
2013,08,BROOKLYN,44840
2013,11,BROOKLYN,47150
2013,07,BROOKLYN,45928
2013,06,BROOKLYN,47403
2013,12,BROOKLYN,47491
2013,10,BROOKLYN,45735
2013,05,BROOKLYN,47147
2013,03,BROOKLYN,46546
2013,02,BROOKLYN,45148
2013,04,BROOKLYN,44787
2013,01,BROOKLYN,54922
2014,01,BROOKLYN,65580
2014,02,BROOKLYN,54559
2014,05,BROOKLYN,54441
2014,07,BROOKLYN,54081
2014,11,BROOKLYN,53978
2014,10,BROOKLYN,51935
2014,09,BROOKLYN,48624
2014,08,BROOKLYN,49751
2014,03,BROOKLYN,52068
2014,04,BROOKLYN,47036
2014,06,BROOKLYN,54950
2014,12,BROOKLYN,52970
2015,02,BROOKLYN,60658
2015,03,BROOKLYN,61181
2015,10,BROOKLYN,58898
2015,08,BROOKLYN,54832
2015,01,BROOKLYN,58291
2015,12,BROOKLYN,52111
2015,07,BROOKLYN,58299
2015,04,BROOKLYN,53425
2015,09,BROOKLYN,54756
2015,06,BROOKLYN,59701
2015,05,BROOKLYN,56212
2015,11,BROOKLYN,54724
2016,01,BROOKLYN,62341
2016,02,BROOKLYN,57768
2016,11,BROOKLYN,55930
2016,03,BROOKLYN,56729
2016,09,BROOKLYN,57877
2016,12,BROOKLYN,60592
2016,10,BROOKLYN,59603
2016,08,BROOKLYN,57888
2016,07,BROOKLYN,58953
2016,05,BROOKLYN,59666
2016,04,BROOKLYN,53797
2016,06,BROOKLYN,62518
2017,07,BROOKLYN,64345
2017,09,BROOKLYN,65320
2017,03,BROOKLYN,61037
2017,08,BROOKLYN,61984
2017,06,BROOKLYN,66016
2017,02,BROOKLYN,54103
2017,01,BROOKLYN,61176
2017,05,BROOKLYN,62931
2017,10,BROOKLYN,67499
2017,12,BROOKLYN,67424
2017,11,BROOKLYN,66465
2017,04,BROOKLYN,57070
2018,12,BROOKLYN,66212
2018,08,BROOKLYN,72363
2018,05,BROOKLYN,69618
2018,06,BROOKLYN,71165
2018,09,BROOKLYN,69372
2018,02,BROOKLYN,58530
2018,11,BROOKLYN,70948
2018,03,BROOKLYN,66580
2018,04,BROOKLYN,62851
2018,07,BROOKLYN,69967
2018,01,BROOKLYN,78773
2018,10,BROOKLYN,78305
2019,01,BROOKLYN,73060
2019,02,BROOKLYN,59014
2019,04,BROOKLYN,28756
2019,03,BROOKLYN,65235
2010,07,MANHATTAN,21783
2010,08,MANHATTAN,21394
2010,11,MANHATTAN,19555
2010,10,MANHATTAN,22913
2010,01,MANHATTAN,19285
2010,06,MANHATTAN,22234
2010,05,MANHATTAN,23540
2010,03,MANHATTAN,22486
2010,02,MANHATTAN,18482
2010,09,MANHATTAN,22302
2010,04,MANHATTAN,23209
2010,12,MANHATTAN,17312
2011,08,MANHATTAN,27612
2011,01,MANHATTAN,17467
2011,04,MANHATTAN,25034
2011,12,MANHATTAN,31967
2011,02,MANHATTAN,20139
2011,09,MANHATTAN,30101
2011,05,MANHATTAN,25261
2011,03,MANHATTAN,26993
2011,10,MANHATTAN,34402
2011,11,MANHATTAN,32378
2011,07,MANHATTAN,26343
2011,06,MANHATTAN,25230
2012,11,MANHATTAN,30393
2012,10,MANHATTAN,29274
2012,09,MANHATTAN,25736
2012,03,MANHATTAN,29838
2012,02,MANHATTAN,27064
2012,12,MANHATTAN,31041
2012,01,MANHATTAN,32561
2012,06,MANHATTAN,26678
2012,04,MANHATTAN,26951
2012,08,MANHATTAN,26403
2012,05,MANHATTAN,27543
2012,07,MANHATTAN,25577
2013,12,MANHATTAN,31277
2013,06,MANHATTAN,28616
2013,08,MANHATTAN,27652
2013,03,MANHATTAN,32290
2013,07,MANHATTAN,28376
2013,02,MANHATTAN,30027
2013,04,MANHATTAN,31094
2013,10,MANHATTAN,32726
2013,05,MANHATTAN,30750
2013,09,MANHATTAN,27602
2013,01,MANHATTAN,34985
2013,11,MANHATTAN,33758
2014,06,MANHATTAN,34657
2014,04,MANHATTAN,32511
2014,11,MANHATTAN,38037
2014,05,MANHATTAN,35128
2014,03,MANHATTAN,34074
2014,10,MANHATTAN,36872
2014,09,MANHATTAN,32641
2014,02,MANHATTAN,32674
2014,08,MANHATTAN,31672
2014,01,MANHATTAN,40142
2014,07,MANHATTAN,34376
2014,12,MANHATTAN,35160
2015,10,MANHATTAN,44372
2015,05,MANHATTAN,38069
2015,01,MANHATTAN,38038
2015,04,MANHATTAN,37926
2015,07,MANHATTAN,36014
2015,08,MANHATTAN,36527
2015,12,MANHATTAN,36905
2015,09,MANHATTAN,37370
2015,02,MANHATTAN,37309
2015,06,MANHATTAN,37607
2015,11,MANHATTAN,41219
2015,03,MANHATTAN,37342
2016,10,MANHATTAN,42471
2016,06,MANHATTAN,43102
2016,05,MANHATTAN,45954
2016,03,MANHATTAN,42530
2016,08,MANHATTAN,40089
2016,07,MANHATTAN,39428
2016,12,MANHATTAN,41539
2016,04,MANHATTAN,42660
2016,01,MANHATTAN,43945
2016,02,MANHATTAN,40433
2016,09,MANHATTAN,38589
2016,11,MANHATTAN,39258
2017,07,MANHATTAN,36158
2017,11,MANHATTAN,39632
2017,09,MANHATTAN,38139
2017,06,MANHATTAN,39630
2017,01,MANHATTAN,40159
2017,10,MANHATTAN,41810
2017,02,MANHATTAN,35614
2017,04,MANHATTAN,40595
2017,05,MANHATTAN,40731
2017,08,MANHATTAN,36870
2017,12,MANHATTAN,40441
2017,03,MANHATTAN,38641
2018,02,MANHATTAN,34349
2018,10,MANHATTAN,48459
2018,09,MANHATTAN,40525
2018,06,MANHATTAN,42049
2018,03,MANHATTAN,38421
2018,11,MANHATTAN,42154
2018,01,MANHATTAN,46811
2018,08,MANHATTAN,40946
2018,05,MANHATTAN,42989
2018,07,MANHATTAN,39797
2018,04,MANHATTAN,39206
2018,12,MANHATTAN,37599
2019,03,MANHATTAN,36044
2019,02,MANHATTAN,34512
2019,01,MANHATTAN,41917
2019,04,MANHATTAN,16761
2010,12,Unspecified,92200
2010,04,Unspecified,48767
2010,01,Unspecified,84925
2010,07,Unspecified,42850
2010,11,Unspecified,78090
2010,06,Unspecified,40358
2010,09,Unspecified,42432
2010,05,Unspecified,41075
2010,02,Unspecified,62625
2010,08,Unspecified,43909
2010,03,Unspecified,67602
2010,10,Unspecified,63726
2011,08,Unspecified,2920
2011,12,Unspecified,2619
2011,02,Unspecified,50918
2011,03,Unspecified,6263
2011,07,Unspecified,2621
2011,06,Unspecified,2789
2011,04,Unspecified,3084
2011,01,Unspecified,80207
2011,05,Unspecified,3038
2011,10,Unspecified,2860
2011,09,Unspecified,2504
2011,11,Unspecified,2610
2012,08,Unspecified,2684
2012,12,Unspecified,2417
2012,11,Unspecified,2524
2012,06,Unspecified,2344
2012,07,Unspecified,2725
2012,10,Unspecified,2594
2012,03,Unspecified,2553
2012,04,Unspecified,2416
2012,02,Unspecified,2405
2012,05,Unspecified,2508
2012,09,Unspecified,2068
2012,01,Unspecified,2766
2013,12,Unspecified,1760
2013,10,Unspecified,2262
2013,02,Unspecified,2335
2013,05,Unspecified,2393
2013,11,Unspecified,1710
2013,09,Unspecified,1792
2013,04,Unspecified,2565
2013,07,Unspecified,2033
2013,03,Unspecified,2366
2013,06,Unspecified,2166
2013,01,Unspecified,2799
2013,08,Unspecified,2101
2014,12,Unspecified,1981
2014,11,Unspecified,1616
2014,09,Unspecified,1754
2014,10,Unspecified,2007
2014,04,Unspecified,1834
2014,06,Unspecified,1708
2014,01,Unspecified,2342
2014,02,Unspecified,2032
2014,08,Unspecified,1570
2014,03,Unspecified,1914
2014,07,Unspecified,1792
