CreatedDateYear,CreatedDateMonth,Borough,ComplaintType,requests
2010,04,BRONX,Water System,420
2010,04,QUEENS,Traffic Signal Condition,1158
2010,04,QUEENS,Water System,1624
2010,04,Unspecified,Traffic Signal Condition,46
2010,04,BROOKLYN,Water System,1033
2010,04,BROOKLYN,Noise - Residential,3008
2010,04,BROOKLYN,General Construction/Plumbing,1665
2010,04,QUEENS,General Construction/Plumbing,1279
2010,04,BROOKLYN,Traffic Signal Condition,1322
2010,04,QUEENS,Noise - Residential,1734
2010,04,BROOKLYN,Street Condition,3135
2010,04,QUEENS,Street Condition,3559
2010,04,BRONX,General Construction/Plumbing,486
2010,04,Unspecified,Water System,2
2010,04,STATEN ISLAND,General Construction/Plumbing,314
2010,04,MANHATTAN,Street Light Condition,1460
2010,04,MANHATTAN,Traffic Signal Condition,949
2010,04,STATEN ISLAND,Water System,414
2010,04,BROOKLYN,Blocked Driveway,1380
2010,04,Unspecified,Street Light Condition,193
2010,04,MANHATTAN,Street Condition,2422
2010,04,STATEN ISLAND,Street Condition,1480
2010,04,STATEN ISLAND,Street Light Condition,608
2010,04,BRONX,Noise - Residential,2818
2010,04,MANHATTAN,Water System,590
2010,04,STATEN ISLAND,Blocked Driveway,133
2010,04,MANHATTAN,General Construction/Plumbing,1156
2010,04,MANHATTAN,Blocked Driveway,137
2010,04,BRONX,Traffic Signal Condition,565
2010,04,STATEN ISLAND,Traffic Signal Condition,140
2010,05,BROOKLYN,Noise - Residential,3531
2010,05,BRONX,Traffic Signal Condition,567
2010,05,MANHATTAN,Street Condition,1857
2010,05,STATEN ISLAND,Blocked Driveway,140
2010,05,STATEN ISLAND,Water System,563
2010,05,QUEENS,General Construction/Plumbing,1318
2010,05,BRONX,Noise - Residential,2818
2010,05,BROOKLYN,Street Light Condition,2610
2010,05,MANHATTAN,Noise - Residential,2323
2010,05,QUEENS,Street Light Condition,3492
2010,05,STATEN ISLAND,Traffic Signal Condition,111
2010,05,MANHATTAN,Street Light Condition,1179
2010,05,BRONX,General Construction/Plumbing,494
2010,05,BRONX,Street Light Condition,1595
2010,05,MANHATTAN,Water System,868
2010,05,BRONX,Blocked Driveway,611
2010,05,STATEN ISLAND,Street Condition,1014
2010,05,BROOKLYN,Water System,1073
2010,05,BRONX,Water System,823
2010,05,Unspecified,Traffic Signal Condition,46
2010,05,STATEN ISLAND,Noise - Residential,345
2010,05,MANHATTAN,Blocked Driveway,138
2010,05,QUEENS,Noise - Residential,2370
2010,05,QUEENS,Street Condition,2274
2010,05,STATEN ISLAND,Street Light Condition,621
2010,05,BROOKLYN,General Construction/Plumbing,1357
2010,05,Unspecified,Street Light Condition,134
2010,05,QUEENS,Water System,1178
2010,05,BRONX,Street Condition,899
2010,05,BROOKLYN,Street Condition,2271
2010,05,MANHATTAN,General Construction/Plumbing,1124
2010,05,BROOKLYN,Traffic Signal Condition,1275
2010,05,BROOKLYN,Blocked Driveway,1512
2010,05,STATEN ISLAND,General Construction/Plumbing,308
2010,05,QUEENS,Traffic Signal Condition,1025
2010,05,QUEENS,Blocked Driveway,1622
2010,05,MANHATTAN,Traffic Signal Condition,1200
2010,06,BROOKLYN,General Construction/Plumbing,1667
2010,06,QUEENS,Water System,1938
2010,06,BROOKLYN,Blocked Driveway,1520
2010,06,MANHATTAN,Blocked Driveway,132
2010,06,QUEENS,Street Light Condition,3372
2010,06,STATEN ISLAND,Street Light Condition,709
2010,06,STATEN ISLAND,Noise - Residential,281
2010,06,BRONX,Street Light Condition,2325
2010,06,BRONX,Traffic Signal Condition,512
2010,06,MANHATTAN,Noise - Residential,1515
2010,06,STATEN ISLAND,Water System,389
2010,06,Unspecified,Street Light Condition,138
2010,06,STATEN ISLAND,Traffic Signal Condition,97
2010,06,BRONX,Noise - Residential,1888
2010,06,BROOKLYN,Street Condition,1812
2010,06,QUEENS,Street Condition,2336
2010,06,MANHATTAN,Street Condition,1329
2010,06,STATEN ISLAND,Street Condition,751
2010,06,BRONX,Water System,2464
2010,06,BRONX,Blocked Driveway,594
2010,06,MANHATTAN,Traffic Signal Condition,1134
2010,06,BRONX,Street Condition,1289
2010,06,MANHATTAN,General Construction/Plumbing,1014
2010,06,STATEN ISLAND,General Construction/Plumbing,295
2010,06,QUEENS,Traffic Signal Condition,1043
2010,06,STATEN ISLAND,Blocked Driveway,132
2010,06,Unspecified,Water System,23
2010,06,BRONX,General Construction/Plumbing,482
2010,06,MANHATTAN,Street Light Condition,1196
2010,06,QUEENS,Blocked Driveway,1579
2010,06,Unspecified,Traffic Signal Condition,19
2010,06,BROOKLYN,Traffic Signal Condition,994
2010,06,QUEENS,General Construction/Plumbing,1194
2010,06,QUEENS,Noise - Residential,1869
2010,06,BROOKLYN,Street Light Condition,2769
2010,06,BROOKLYN,Noise - Residential,2761
2010,06,MANHATTAN,Water System,2252
2010,06,BROOKLYN,Water System,1943
2010,07,Unspecified,Traffic Signal Condition,40
2010,07,STATEN ISLAND,General Construction/Plumbing,248
2010,07,BRONX,Noise - Residential,2087
2010,07,STATEN ISLAND,Blocked Driveway,139
2010,07,BROOKLYN,Street Light Condition,2516
2010,07,QUEENS,Water System,2049
2010,07,Unspecified,Water System,53
2010,07,BRONX,Street Light Condition,2147
2010,07,BRONX,Street Condition,676
2010,07,STATEN ISLAND,Noise - Residential,286
2010,07,BROOKLYN,Water System,2594
2010,07,STATEN ISLAND,Street Light Condition,522
2010,07,QUEENS,General Construction/Plumbing,1267
2010,07,MANHATTAN,Noise - Residential,1336
2010,07,BROOKLYN,Traffic Signal Condition,915
2010,07,BRONX,Water System,2556
2010,07,MANHATTAN,Water System,2125
2010,07,BRONX,General Construction/Plumbing,492
2010,07,MANHATTAN,Blocked Driveway,136
2010,07,MANHATTAN,Street Condition,1470
2010,07,BROOKLYN,Blocked Driveway,1406
2010,07,QUEENS,Street Condition,1580
2010,07,MANHATTAN,Traffic Signal Condition,1026
2010,07,MANHATTAN,General Construction/Plumbing,986
2010,07,MANHATTAN,Street Light Condition,1190
2010,07,QUEENS,Traffic Signal Condition,1059
2010,07,BROOKLYN,General Construction/Plumbing,1510
2010,07,BROOKLYN,Noise - Residential,2620
2010,07,QUEENS,Blocked Driveway,1504
2010,07,BRONX,Traffic Signal Condition,466
2010,07,STATEN ISLAND,Water System,397
2010,07,Unspecified,Street Light Condition,115
