Month,Day,requests,USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
5,1,1325,725053,94728,CENTRAL PARK,NY,40.779,-73.969,61.1,41.0,78.1,52.4,4.53,4.6,8.0,15.9,1,0.0,0,0,0,1,0,0
5,1,1958,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,57.7,46.0,75.9,35.9,0.0,9.6,18.1,21.0,0,0.0,0,0,0,0,1,0
11,1,1862,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,48.2,45.0,52.0,37.1,0.01,11.9,15.9,22.0,0,0.0,0,0,0,0,1,0
9,1,1106,725053,94728,CENTRAL PARK,NY,40.779,-73.969,64.3,55.0,81.0,41.7,0.0,3.9,8.0,0.0,0,0.0,0,0,0,1,0,0
1,1,680,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,37.7,32.0,43.0,30.8,0.0,5.8,9.9,0.0,0,5.1,0,0,1,0,0,0
9,1,391,997272,99999,BERGEN POINT,NY,40.639,-74.146,72.9,65.3,80.4,0.0,0.0,3.8,9.9,0.0,0,0.0,0,0,0,0,0,1
12,1,1240,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,55.6,46.0,59.0,51.2,0.18,20.5,31.1,42.9,1,0.0,0,0,0,0,1,0
7,1,1991,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,76.2,66.9,84.0,68.0,0.0,12.9,24.1,29.9,0,0.0,0,0,1,0,0,0
11,1,1057,725053,94728,CENTRAL PARK,NY,40.779,-73.969,66.2,53.1,70.0,56.7,0.07,4.8,20.0,38.1,1,0.0,0,0,0,1,0,0
3,1,1843,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,49.0,36.0,57.9,40.9,0.0,6.1,13.0,0.0,0,0.0,0,0,0,0,1,0
5,1,140,997272,99999,BERGEN POINT,NY,40.639,-74.146,71.8,60.8,85.8,0.0,0.0,4.0,8.9,0.0,0,0.0,0,0,0,0,0,1
8,1,1048,725053,94728,CENTRAL PARK,NY,40.779,-73.969,75.5,68.0,84.0,65.2,0.0,3.3,7.0,14.0,0,0.0,0,0,0,1,0,0
6,1,171,997272,99999,BERGEN POINT,NY,40.639,-74.146,82.1,72.0,91.8,0.0,0.0,4.6,8.0,0.0,0,0.0,0,0,0,0,0,1
2,1,172,997272,99999,BERGEN POINT,NY,40.639,-74.146,36.4,32.7,42.8,0.0,0.0,2.6,7.0,0.0,0,0.0,0,0,0,0,0,1
3,1,1275,997280,99999,KINGS POINT,NY,40.8,-73.77,43.6,38.5,51.3,0.0,0.0,9.7,15.0,0.0,0,0.0,0,1,0,0,0,0
8,1,220,997272,99999,BERGEN POINT,NY,40.639,-74.146,71.4,68.0,75.4,0.0,0.0,3.8,7.0,0.0,0,0.0,0,0,0,0,0,1
4,1,565,997280,99999,KINGS POINT,NY,40.8,-73.77,52.6,46.6,66.6,0.0,0.0,4.0,13.0,0.0,0,0.0,0,1,0,0,0,0
2,1,1548,725053,94728,CENTRAL PARK,NY,40.779,-73.969,29.3,26.1,34.0,9.5,0.01,8.4,14.0,28.9,0,0.0,0,0,0,1,0,0
9,1,754,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,80.7,73.0,91.9,64.5,0.0,10.5,18.1,22.0,0,0.0,0,0,0,0,1,0
8,1,938,725053,94728,CENTRAL PARK,NY,40.779,-73.969,71.5,66.0,82.9,62.8,0.0,2.3,8.0,0.0,1,0.0,0,0,0,1,0,0
6,1,287,997272,99999,BERGEN POINT,NY,40.639,-74.146,68.2,63.9,75.6,0.0,0.0,8.2,12.0,0.0,0,0.0,0,0,0,0,0,1
5,1,1404,725053,94728,CENTRAL PARK,NY,40.779,-73.969,53.6,48.0,66.9,38.7,0.0,5.1,8.0,14.0,0,0.0,0,0,0,1,0,0
3,1,845,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,39.6,33.1,46.9,15.0,0.23,7.2,15.0,24.1,0,0.0,0,0,0,1,0,0
5,1,528,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,58.3,51.1,69.1,38.2,0.0,3.9,8.0,0.0,0,0.0,0,0,0,1,0,0
5,1,1765,725053,94728,CENTRAL PARK,NY,40.779,-73.969,61.1,44.1,80.1,31.0,0.0,3.3,8.0,17.1,0,0.0,0,0,0,1,0,0
12,1,288,997272,99999,BERGEN POINT,NY,40.639,-74.146,44.5,39.2,50.0,0.0,0.0,11.4,18.1,0.0,0,0.0,0,0,0,0,0,1
7,1,1024,997280,99999,KINGS POINT,NY,40.8,-73.77,74.9,70.9,79.9,0.0,0.0,9.8,18.1,0.0,0,0.0,0,1,0,0,0,0
11,1,1024,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,43.5,37.0,62.1,23.4,0.0,11.3,19.0,24.1,0,0.0,0,0,1,0,0,0
12,1,880,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,41.0,33.1,46.9,33.9,0.0,11.4,14.0,20.0,0,0.0,0,0,0,0,1,0
10,1,1352,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,58.3,50.0,69.1,46.3,0.04,8.0,15.0,0.0,0,0.0,0,0,0,0,1,0
11,1,541,997272,99999,BERGEN POINT,NY,40.639,-74.146,48.7,45.5,51.1,0.0,0.0,6.4,11.1,0.0,0,0.0,0,0,0,0,0,1
4,1,1467,725053,94728,CENTRAL PARK,NY,40.779,-73.969,67.3,48.9,79.0,56.1,0.01,4.8,9.9,18.1,1,0.0,0,0,0,1,0,0
4,1,999,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,38.5,36.0,45.0,33.5,0.24,10.7,15.0,21.0,1,0.0,1,0,0,0,1,0
10,1,1257,725053,94728,CENTRAL PARK,NY,40.779,-73.969,58.3,50.0,68.0,44.3,0.0,3.8,9.9,17.1,0,0.0,0,0,0,1,0,0
7,1,277,997272,99999,BERGEN POINT,NY,40.639,-74.146,74.7,72.1,77.7,0.0,0.0,3.8,8.0,0.0,0,0.0,0,0,0,0,0,1
8,1,779,997280,99999,KINGS POINT,NY,40.8,-73.77,74.0,71.6,77.2,0.0,0.0,5.3,8.9,0.0,0,0.0,0,1,0,0,0,0
1,1,109,997272,99999,BERGEN POINT,NY,40.639,-74.146,29.7,23.5,39.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
12,1,783,725053,94728,CENTRAL PARK,NY,40.779,-73.969,41.3,25.0,48.9,28.2,0.0,2.1,6.0,0.0,0,0.0,0,0,0,1,0,0
8,1,1708,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,75.1,64.9,82.0,67.8,0.0,9.3,17.1,19.0,1,0.0,0,0,1,0,0,0
2,1,1269,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,36.4,25.0,43.0,21.5,0.0,4.5,8.0,0.0,0,0.0,0,0,1,0,0,0
2,1,1282,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,48.1,33.1,60.1,38.9,0.0,8.9,14.0,0.0,1,1.2,0,0,0,0,1,0
4,1,1390,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,45.6,34.0,57.0,28.1,0.07,10.2,19.0,28.0,0,0.0,0,0,0,0,1,0
6,1,818,725053,94728,CENTRAL PARK,NY,40.779,-73.969,80.8,73.9,90.0,64.1,0.0,3.8,6.0,0.0,0,0.0,0,0,0,1,0,0
10,1,1245,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,60.1,57.9,63.0,55.8,0.3,12.3,15.0,20.0,1,0.0,0,0,0,0,1,0
1,1,283,997280,99999,KINGS POINT,NY,40.8,-73.77,41.9,37.9,48.2,0.0,0.0,5.6,8.0,0.0,0,0.0,0,1,0,0,0,0
12,1,929,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,41.9,25.0,48.9,30.8,0.0,5.8,8.9,0.0,0,0.0,0,0,1,0,0,0
9,1,1103,997280,99999,KINGS POINT,NY,40.8,-73.77,80.1,73.9,84.9,0.0,0.0,4.2,8.0,0.0,0,0.0,0,1,0,0,0,0
1,1,1127,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,39.1,31.1,41.0,25.1,0.0,13.3,17.1,22.0,0,0.0,0,0,1,0,0,0
5,1,1579,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,57.4,50.0,70.0,48.6,0.9,9.6,15.9,17.1,1,0.0,0,0,1,0,0,0
2,1,732,997280,99999,KINGS POINT,NY,40.8,-73.77,30.1,27.5,35.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0,0
9,1,1067,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,83.4,73.0,97.0,65.6,0.0,5.2,14.0,19.0,0,0.0,0,0,1,0,0,0
8,1,391,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,68.2,53.6,79.0,55.4,0.0,5.2,12.0,14.0,0,0.0,0,0,0,1,0,0
7,1,1719,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,72.8,69.1,81.0,70.2,0.02,10.0,17.1,21.0,1,0.0,0,0,1,0,0,0
11,1,790,997280,99999,KINGS POINT,NY,40.8,-73.77,64.5,62.1,68.0,0.0,0.0,14.5,19.0,0.0,0,0.0,0,1,0,0,0,0
12,1,1778,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,49.5,35.1,53.1,39.8,0.02,9.2,15.0,0.0,1,0.0,0,0,0,0,1,0
6,1,667,725033,94728,NYC CENTRAL PARK,NY,40.779,-73.969,74.4,66.0,84.9,65.5,0.0,3.8,9.9,22.9,1,0.0,0,0,0,1,0,0
5,1,2298,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,55.4,50.0,70.0,51.7,0.0,8.5,21.0,28.9,1,0.0,0,0,1,0,0,0
3,1,964,725053,94728,CENTRAL PARK,NY,40.779,-73.969,40.0,36.0,45.0,27.4,0.0,4.9,9.9,15.9,0,0.0,0,0,0,1,0,0
9,1,554,725053,94728,CENTRAL PARK,NY,40.779,-73.969,81.6,77.0,91.0,61.3,0.0,4.7,8.0,15.0,0,0.0,0,0,0,1,0,0
1,1,545,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,46.6,35.6,51.1,38.2,0.01,5.2,13.0,17.1,1,0.0,0,0,0,1,0,0
8,1,1496,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,75.0,71.1,82.4,69.5,0.0,7.0,12.0,0.0,1,0.0,0,0,1,0,0,0
4,1,1664,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,38.5,36.0,45.0,33.5,0.24,10.7,15.0,21.0,1,0.0,1,0,1,0,0,0
